Sigla	Disciplina	TPI	Recomendação	Ementa	Bibliografia Básica	Bibliografia Complementar
ESZS002-13	Aeronáutica II	5-1-6	Disciplinas Obrigatórias das Engenharias	Regulamentação aeronáutica: regras do ar; regras de voo visual; serviços de tráfego aéreo; fraseologia. Meteorologia: introdução à meteorologia; meteorologia aeronáutica; informações meteorológicas. Navegação aérea: aspectos práticos da navegação aérea e técnicas de navegação estimada; utilização de cartas aeronáuticas. Planejamento de voo e procedimentos operacionais: utilização dos sites de Consulta de Informações Aeronáuticas (AIS WEB) e da Rede de Meteorologia do Comando da Aeronáutica (REDEMET).	WAGTENDONK, W.J. Principles of Helicopter Flight. 2. ed. Newcastle: Aviation Supplies & Academics, 2006.	JOHNSON, W. Helicopter Theory. Mincola: Dover Publications, 1994
MCTB001-13	Álgebra Linear	6-0-5	Geometria Analítica	Sistemas de Equações Lineares: Sistemas e matrizes; Matrizes escalonadas; Sistemas homogêneos; Posto e Nulidade de uma matriz. Espaço Vetorial: Definição e exemplos; Subespaços vetoriais; Combinação linear; Dependência e independência linear; Base de um espaço vetorial e mudança de base. Transformações Lineares: Definição de transformação linear e exemplos; Núcleo e imagem de uma transformação linear; Transformações lineares e matrizes; Matriz mudança de base. Autovalores e Autovetores: Polinômio característico; Base de autovetores; Diagonalização de operadores.	"ANTON, H.& RORRES, C.; Álgebra Linear com Aplicações, oitava edição. Editora Bookman, 2001.
BOLDRINI, J. L.; COSTA, S. L. R.; FIGUEIREDO, V. L. & WETZLER, H. G.; Álgebra Linear, 3ª edição, Editora Harbra Ltda. São Paulo, 1986.
LIMA, E. L. Álgebra Linear, 6ª Edição. Coleção Matemática Universitária. IMPA, 2003."	"CALLIOLI, C. A; COSTA, R. F. & DOMINGUES, H.; Álgebra Linear e Aplicações. Atual Editora, 1990.
COELHO, F. U. & LOURENÇO, M. L.; Um curso de Álgebra Linear. Editora da Universidade de São Paulo-EDUSP, 2001.
GONÇALVES, A. & SOUZA, R. M.L.;Introdução à Álgebra Linear.Editora EdgardBlücher, 1977.
LAWSON, T.; Álgebra Linear. Editora Edgard Blücher, 1997.
SANTOS, Nathan Moreira dos. Vetores e matrizes:uma introdução à Álgebra Linear. Quarta edição. Editora Thomson, 2007."
MCTB002-13	Álgebra Linear Avançada I	4-0-4	Álgebra Linear; Matemática Discreta	Corpos; Espaço Vetorial sobre um corpo; Base e dimensão; Espaços Quocientes, Funcionais Lineares; Espaços Duais; Complexificação; Transformações Lineares; Espaços Invariantes; Polinômios (Anéis de Polinômios); Forma de Jordan Complexa e Real; Forma Canônica Racional.	"COELHO, F.U.; LOURENÇO, M.L. Um curso de àlgebra linear.São Paulo: Ed. Da Universidade de São Paulo ¿ EDUSP. 2001.
HOFFMAN, Kenneth; KUNZE, Ray Alden. Linear algebra. 2ª. ed. Upper Saddle River, New Jersey: Prentice-Hall, 1971.  407 p.
KOSTRIKIN, Alexei Ivanovich; MANIN, Yu I. Linear algebra and geometry. New York: Gordon and Breach Science Publishers, 1989. 309 p."	WELCH, J.F, SICKLE'S, V. Modern Airmanship. New York: McGraw-Hill Professional, 1999.
MCTB003-13	Álgebra Linear Avançada II	4-0-4	Álgebra Linear Avançada I	Formas Bilineares e Sesquilineares: Formas Ortogonais, Hermitianas e Simpléticas; Teorema de Classificação das Formas Ortogonais, Hermitianas e Simpléticas. Espaços com produto interno e Hermitiano. Grupos Clássicos. Álgebra Multilinear: Aplicações Multilineares, Produto Tensorial, Isomorfismos Canônicos, Tensores Simétricos e Anti-Simétricos. Álgebra Exterior.	"HOFFMAN, Kenneth; KUNZE, Ray Alden. Linear algebra. 2ª. ed. Upper Saddle River, New Jersey: Prentice-Hall, 1971. 407 p.
KOSTRIKIN, Alexei Ivanovich; MANIN, Yu I. Linear algebra and geometry. New York: Gordon and Breach Science Publishers, 1989. 309 p.
NORTHCOTT, D. G. Multilinear algebra. Cambridge: Cambridge University Press, 1984. 198 p."	BROWN,W. A second course in linear algebra. New York: Wiley, 1988. 264 p.
MCTA001-13	Algoritmos e Estruturas de Dados I	2-2-4	Programação Estruturada	Breve introdução à linguagem C. Noções básicas de análise de complexidade de tempo de algoritmos. Estruturas lineares: busca e ordenação. Árvores de busca. Árvores balanceadas.	"Cormen T. H et al., “Algoritmos: Teoria e Prática”. Rio de Janeiro: Editora Campus, 2ª edição, 2002
Knuth D.E. “The Art of Computer Programming”. vols. 1 e 3, Addison-Wesley, 1973
Robert Sedgewick, ""Algorithms in C, Parts 1-4 (Fundamental Algorithms, Data Structures, Sorting, Searching)"", Addison-Wesley Professional, 1998"	"Rodrigues P., Pereira P., Sousa M., “Programação em C++: Algoritmos e Estruturas de Dados” , FCA Editora de Informática, 2000
Sedgewick, R. “Algorithms in C++” (Parts 1-4), Addison-Wesley, 3ª edição, 1998
Tenenbaum, A. M., Langsam Y., Augenstein M. J. “Estruturas de Dados Usando C”. Editora Pearson Makron Books.
Drozdek Adam. “Estrutura de dados e Algoritmos em C++”. Thomson Learning, 2002."
MCTA002-13	Algoritmos e Estruturas de Dados II	2-2-4	Algoritmos e Estruturas de Dados I	Hashing. Introdução a arquivos. Arquivos seqüenciais. Arquivos indexados. Arquivos de acesso direto. Prática de programação dos arquivos e das funções primitivas na resolução de problemas. Compressão de arquivos.	"Folk M.,, Zoellick B., Riccardi G. File Structures, An Object-Oriented Approach Using C++, Third Edition. Addison-Wesley, 1998
Cormen T. H et al., Algoritmos: Teoria e Prática. Rio de Janeiro: Editora Campus, 2ª edição, 2002
Folk M., Zoellick B. File Structures, Second Edition. Addison-Wesley, 1992"	"Ziviani N. Projeto de Algoritmos com implementação em Java e C++.São Paulo: Editora Thomson, 1ª edição, 2007
Szwarcfiter, J.L.; Markenzon, L. Estruturas de dados e seus algoritmos. Editora LTC, 3a edição, 1994.
Rodrigues P., Pereira P., Sousa M., ""Programação em C++: Algoritmos e Estruturas de Dados"" , FCA Editora de Informática, 2000
Tenenbaum, A. M., Langsam Y., Augenstein M. J. ""Estruturas de Dados Usando C"". Editora Pearson Makron Books.
Drozdek Adam. ""Estrutura de dados e Algoritmos em C++"". Thomson Learning, 2002."
MCZA035-14	Algoritmos Probabilísticos	4-0-4	Algoritmos e Estruturas de Dados II; Introdução à Probabilidade e Estatística	Revisão de probabilidade discreta. Exemplos de algoritmos aleatorizados: Algoritmo para Identidade polinomial; Sigilo perfeito; MAX 3-SAT. Leis de desvios e aplicações em algoritmos e estruturas de dados: hashing universal; treaps. Modelos de computação e classes probabilísticas de complexidade. Aplicações de Cadeias de Markov. Passeios aleatórios em grafos. Algoritmos distribuídos probabilísticos.	"M. Mitzenmacher, E. Upfal, Probability and Computing: Randomized Algorithms and Probabilistic Analysis, Cambridge University Press, 2005. (ISBN-10: 0521835402, ISBN- 13: 978-0521835404)
R. Motwani, P. Raghavan, Randomized Algorithms, Cambridge University Press, 1995. (ISBN-10: 0521474655, ISBN-13: 978-0521474658)
D. Dubhashi, A. Panconesi, Concentration of measure for the analysis of randomized algorithms. Cambridge University Press, c2009. ISBN 9780521884273."	"J. Hromkovic, Design and Analysis of Randomized Algorithms.Introduction to Design Paradigms.Texts in Theoretical Computer Science, Springer; 2005.ISBN 978-3-5402-3949- 9
Mark Jerrum, Counting, Sampling and Integrating: Algorithms and Complexity. Lectures in Mathematics, ETH Zürich, Birkhäuser, 2003. ISBN 978-3-7643-6946-0
M. Habib (ed) et al. Probabilistic methods for algorithmic discrete mathematics. Springer, Algorithms and Combinatorics Volume 16,1998.ISBN 978-3-642-08426-3 (impresso) 978- 3-662-12788-9 (eletrônico)
Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein. Introduction to Algorithms. The MIT Press; 3rd edition (2009). ISBN 978-0-2620-3384-8
Sanjeev Arora e Boaz Barak, Computational Complexity: A Modern Approach. Cambridge University Press, 2009, ISBN 978-0-5214-2426-4"
MCZB001-13	Análise Complexa	4-0-4	Funções de Variáveis Complexas	Integração no Plano Complexo: formas diferenciais, homotopia e integração, os teoremas de Jordan e de Green. Funções harmônicas no plano.  Os espaços de funções holomorfas e meromorfas. Produtos infinitos e o teorema de Weierstrass.  As funções Gama e Zeta, aproximação de funções analíticas por funções racionais.  A esfera de Riemann. Equivalências conformes. Automorfismos dos números complexos e do disco unitário. Teorema da Uniformização de Riemann, aplicações conformes.	"AHLFORS, Lars V. Complex analysis: an introduction to the theory of analytic functions of one complex variable. 3 ed. New York: McGraw-Hill, 1979. 331 p. (International series in pure and applied mathematics).
CONWAY, John B.. Functions of one complex variable I. 2d ed.. New York: Springer-Verlag, 1978.  317 p. (Graduate texts in maathematics; 11)."	WELSH, D J A., Matroid theory. 2. ed. Londres: Oxford, 2011.
ESHR001-13	Análise da Conjuntura Internacional Contemporânea	4-0-4	Política Externa Contemporânea	Proporcionar uma visão analítica da formulação e da tomada de decisão em política externa de forma a conhecer e interpretar as relações internacionais contemporâneas e seus desdobramentos. Analisar cenários de relações internacionais de uma perspectiva integrada. Identificação dos processos decisórios em relações internacionais a partir de estudos de caso da conjuntura internacional. Identificação dos atores nacionais e internacionais. Interpretação a partir das principais escolas e teorias de análise. Agências governamentais, papel dos atores não governamentais, mecanismos dos lobbies e dos poderes legislativos. Avaliação analítica da escala de objetivos – permanentes, padrões e preferências políticas. Desafios da inserção internacional do Brasil.	"FONSECA Jr., Gelson. O Interesse e a regra: ensaios sobre o multilateralismo. São Paulo: Paz e Terra, 2008. ISBN: 978-85-7753-072-4
HUDSON, Valerie. Foreign Policy Analysis: classic and contemporary theory. Rousman & Littlefield Publisher, 2006. ISBN: 978-0742516885.
NATIONAL INTELLIGENCE COUNCIL. Global Trends 2025: a transformed world. Washington: US Government Printing Office, 2008. ISBN: 978-0-16-081834-9"	"ADLER, Alexandre; BABEIRO, Heródoto (Org). Relatório da CIA: como será o mundo em 2020? Rio de Janeiro: Ediouro Publicações, 2006. ISBN: 85-00017-05-8
FRANÇA, Cassio L.; BADIN, Michelle R. S. A inserção internacional do poder executivo federal brasileiro. São Paulo: FES, 2010. ISBN: 978-85-99138-13-7
HUNGTINGTON, Samual P. O Choque de Civilizações e a Recomposição da Ordem Mundial. Rio de Janeiro: Objetiva, 2010. ISBN: 978-85-390-0074-6
MINISTÉRIO DE RELAÇÕES EXTERIORES. Balanço da Política Externa 2003-2010. Brasília, 2011.
SILVA, Luiz Inácio Lula da Silva. Discurso durante cerimônia em comemoração ao Dia do Diplomata, Palácio Itamaraty, 20 de abril de 2010.
VEIT, Winfried. Los Escenarios de Ginebra sobre Gobernanza Económica Global 2020. Buenos Aires: Nueva Sociedad, 2009."
ESZT001-13	Análise da Produção do Espaço e Políticas Públicas Urbanas	4-0-4	Não há	O espaço como produto e condição da reprodução social. O espaço urbano contemporâneo: segregação, fragmentação e hierarquização. As especificidades do espaço urbano em países periféricos: a segregação como parte do processo de produção do urbano. Políticas públicas urbanas: seus impasses e limites na superação de um espaço urbano periférico.	"CARLOS, A. F. A. A (re)produção do espaço urbano. São Paulo, SP, Edusp, 1994.
FIX, M. Parceiros da Exclusão, São Paulo, SP, Ed. Boitempo, 2001.
LEFEBVRE, Henri. A revolução urbana. Belo Horizonte,MG, Editora UFMG, 2004. 176 p.
SANTOS, Milton. Pensando o espaço do homem. 5ª Ed. São Paulo: Edusp, 2004. 96 p."	"DAVIS, M. Planeta Favela, São Paulo, SP, Boitempo Editorial, 2006.
MARICATO, E. Metrópole na periferia do capitalismo: Ilegalidade, desigualdade e violência. São Paulo, SP, Hucitec, 1996. Disponivel em: <http://www.defensoria.sp.gov.br/dpesp/Repositorio/28/Documentos/Artigos/metr%C3%B3pole%20na%20periferia%20do%20capital
RIBEIRO, F. V. As contradições das políticas de urbanização de favelas. Revista de Economia Política e História Econômica. São Paulo, SP, 2008, nº 14, p.40-68.
RIBEIRO, L.C.Q. Metrópoles. Entre a coesão e a fragmentação, a cooperação e o conflito. São Paulo. Ed. Fundação Perseu Abramo. Rio do Janeiro. Ed. FASE, 2004.
RIZEK, C.S.; BARROS, J.S. Mutirões autogeridos: construindo e desconstruindo sociabilidades, Belo Horizonte, MG, Edusp, Ed. PUC Campinas, 2006."
MCTA003-13	Análise de Algoritmos	4-0-4	Matemática Discreta; Algoritmos e Estruturas de Dados I	Conceitos básicos: recorrências, medidas de complexidade: melhor caso, caso médio e pior caso. Técnicas gerais de projeto de algoritmos: divisão e conquista, método guloso e programação dinâmica. Classes de complexidade: P, NP e NP-completude.	"CORMEN, T. H et al., “Algoritmos: Teoria e Prática”, Rio de Janeiro: Editora Campus, 2ª edição, 2002.
SZWARCFITER, L. MARKEZON, “Estruturas de Dados e seus Algoritmos”. Livros Tecnicos e Científicos, 1994.
ZIVIANI, N., “Projeto de Algoritmos com implementação em Java e C++”, São Paulo: Editora Thomson, 1ª edição, 2007."	"DASGUPTA, S.; PAPADIMITRIOU, C.; VAZIRANI, U. “Algoritmos”, McGraw-Hill, 2009.
TOSCANI, L. V. e VELOSO, P. A. S., “Complexidade de Algoritmos”, UFRGS: Editora Sagra Luzzatto, 1ª. Edição, 2001.
GREENE, Daniel H.; KNUTH, Donald E. “Mathematics for the analysis of algorithms”. 3rd ed. Boston: Birkhäuser, 1990.
KNUTH, Donald Ervin. “The art of computer programming”. 3rd ed. Reading, Mass: AddisonWesley.
AHO, Alfred V; HOPCROFT, John E; ULLMAN, Jeffrey D. “Data structures and algorithms”. Reading, Mass: Addison-Wesley, 1983."
