SIGLA	DISCIPLINA	TPI	RECOMENDAÇÃO	EMENTA	BIBLIOGRAFIA BÁSICA	BIBLIOGRAFIA COMPLEMENTAR
MCTB012-13	Equações Diferenciais Parciais	4-0-4	Análise Real I; Cálculo Vetorial e Tensorial	Classificação em tipos. Condições de contorno e valores iniciais. O método de separação de variáveis. Convergência pontual e uniforme das séries de Fourier, identidade de Parseval. Equação do Calor: condução do calor em uma barra, o problema da barra infinita. Equações da Onda: equação da corda vibrante, corda dedilhada, corda finita e semi-infinita, soluções generalizadas à Sobolev. Equações de Laplace: O problema de Dirichlet em um retângulo e no disco.	"FIGUEIREDO, D. G. Análise de Fourier e Equações Diferenciais Parciais. 4. ed. Rio de Ja- neiro: IMPA, 2005.
IÓRIO, V. M. EDP: um curso de graduação. 2. ed. Rio de Janeiro: IMPA, 2005.
STRAUSS, W.A. Partial Differential Equations: an introduction. Hoboken: Wiley, 2008."	"EVANS, L. Partial Differential Equations, Providence, RI: American Mathematical Society, 1998.
FOLLAND, G. B. Introduction to Partial Differential Equations. 2nd ed. Princeton: Prince- ton University Press, 1995.
JOHN, F. Partial Differential Equations. 4th ed. New York: Springer-Verlag, 1982.
JOST, J. Partial Differential Equations. New York: Springer-Verlag, 2013.
STRAUSS, W. Partial Differential Equations: an introduction. 2nd ed. Hoboken: Wiley, 2008."
NHZ3078-15	Equações Diferenciais Parciais Aplicadas	4-0-4	Cálculo Vetorial e Tensorial; Variáveis Complexas e Aplicações	Equações diferenciais parciais e suas classificações. Separação de Variáveis e Método de Frobenius. Polinômios de Legendre e harmônicos esféricos. Funções de Bessel. Polinômios de Hermite. Ortogonalidade e Problema de Sturm-Liouville. Funções de Green e distribuições.	"1-Arfken & Weber - Mathematical Methods for Physicists; Spiegel - Análise de Fourier.
2-MARY L. BOAS, MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES
3-João Barcelos Neto, Matemática para físicos com aplicações, vol II"	"1-ANDREWS, G. E.; ASKEY, R.; ROY, R. Special Functions, Cambridge University Press, 1999.
2- BRONSON, R.; COSTA, G. Diferential Equations, 3rd Edition, Schaum´s outline, 2006
3- FIGUEIREDO,DJAIRO GUEDES DE, ANÁLISE DE FOURIER E EQUAÇÕES DIFERENCIAIS PARCIAIS
4- OLIVEIRA, C. E. ; MAIORINO, J. E. Introdução aos métodos da Matemática aplicada. Campinas: Editora da Unicamp, 1997.
5- BUTKOV, E.; Física Matemática. LCT. 1998."
ESTB028-17	Equipamentos Médico-Hospitalares	2-2-4	Bases Biológicas para Engenharia II	Unidades de terapia intensiva: função e contexto; Centro cirúrgico: função e contexto; Equipamentos de UTI/Centro cirúrgico: Foco cirúrgico, Mesa cirúrgica, Equipamento de anestesia, Unidade eletrocirúrgica (Bisturí elétrico), Sistemas para Videocirurgia, Monitor de parâmetros fisiológicos (ECG, Temperatura, SpO2, ETCO2, PANI, PAI, BIS), Desfibrilador/Cardioversor, Ventilador pulmonar, Bomba de infusão de seringa, Bomba de infusão de equipo, Cama elétrica para UTI; Unidade de Diagnóstico por imagem: Função e contexto, Equipamento de raio X, Equipamento de Ultrassonografia e ecocardiografia, Equipamento de Tomografia Computadorizada por RX, Tomografia por Ressonância Magnética, Medicina nuclear – SPECT e PET.	"CARVALHO, L.C.; Instrumentação médico-hospitalar. Barueri, SP: Manole, 2008.
Equipamentos Médico-Hospitalares e o Gerenciamento da Manutenção: capacitação à distância / Ministério da Saúde, Secretaria de Gestão de Investimentos em Saúde, Projeto REFORSUS. – Brasília, DF: Ministério da Saúde, 2002. Disponível gratuitamente em http://bvsms.saude.gov.br/.
BRONZINO, J. D.; Biomedical Engineering Handbook. New York: CRC Press, 1999."	"ENDERLE, J. D.; BLANCHARD, S. M.; BRONZINO, J. D.; Introduction to Biomedical Engineering. 2.ed. San Diego: Elsevier Academic Press. 2005.
CARR, J. J.; BROWN, J. M. Introduction to biomedical equipment technology. 4. ed. Upper Saddle River, USA: Prentice Hall, 2001.
TOGAWA, T.; TAMURA, T.; Biomedical Transducers and Instruments. New York: CRC Press, 1997.
KUTZ, Myer (Ed.). Biomedical engineering and design handbook. 2. ed. New York, USA: McGraw-Hill, c2009. Vol. 1.
GUNDERMAN, R.; Essential radiology: clinical presentation, pathophysiology, imaging. New York: Thieme, 1998."
ESZB013-17	Ergonomia	4-0-4	Bases Biológicas para Engenharia II	Esta disciplina tem o objetivo de ensinar ao aluno noções de ergonomia, as influências do ambiente e do método de trabalho na saúde do indivíduo, formas corretas de se realizar uma tarefa e prevenção de lesões durante as atividades do dia a dia e do trabalho devido a erros de posturas e de operação.	"IIDA, I.; Ergonomia - Projeto e Produção. 2a ed. São Paulo: Editora Blucher, 2005. 630p.
SOBOTTA, J.; Atlas de Anatomia Humana. Coleção completa. 22ª. ed. São Paulo: Guanabara, 2006. 864 p.
NORDIN, M.; FRANKEL, V. H.; Biomecânica básica do sistema musculoesquelético. 3ª ed. Guanabara Koogan, 2003. 401p."	"NIGG, B. M.; HERZOG, W.; Biomechanics of the musculo-skeletal system. New York: John Wiley & Sons, 1994.
PEACOCK, B.; KARWOWSKI, W.; Automotive Ergonomics. 1st ed. CRC Press, 1993. 485p.
TILLEY, A. R.; DREYFUSS, H.; The Measure of Man and Woman: Human Factors in Design. Wiley, 2001. 104p.
VALACHI, B.; Practice Dentistry Pain-Free: Evidence-based Ergonomic Strategies to Prevent Pain and Extend Your Career. 1st ed. Posturedontics, 2008. 238p.
KONZ, S.; WorkDesign: Occupational Ergonomics. 7th ed. Holcomb Hathaway Publishers, 2007. 624p."
MCZC007-15	Ergonomia Cognitiva	4-0-4	Psicologia Cognitiva	Ergonomia e fatores humanos; Tópicos de estudo; Métodos de estudo; Neuroergonomia; Limites ao processamento da informação (percepção, atenção, memória, execução); Esforço cognitivo; Psicologia cognitiva e erros humanos; Análise de erros cognitivos; Interfaces homem-máquina; Desenho de software; Ambientes exigentes; Adaptação para pessoas com necessidades cognitivas especiais; Estudos de caso.	"ABRAHÃO, J., et al. Introdução à ergonomia: da prática à teoria. São Paulo: Blucher, 2009. 
GUIMARÃES, L. B. de M, editora. Ergonomia Cognitiva. Porto Alegre: FEENG, 2006.
VIDAL, M. C.; DE CARVALHO, P. V. R. Ergonomia Cognitiva: Raciocínio e decisão no trabalho. Rio de Janeiro: Virtual Científica Editora, 2008."	"DURSO, F. T., editor. Handbook of Applied Cognition. Chichester, UK: John Wiley & Sons, Ltd., 2007.
NEMETH, C. P. Human Factors Methods for Design: Making Systems Human-Centered. Florence, KY: CRC Press, 2004. 
PAK, R.; MCLAUGHLIN, A. Designing Displays for Older Adults. Florence, KY: CRC Press, 2010. 
PARASURAMA, R.; RIZZO, M., editores. Neuroergonomics: The brain at work. Oxford: Oxford University Press, 2008. 
SEARS, A.; JACKO, J.A. The Human-Computer Interaction Handbook: Fundamentals, Evolving Technologies and Emerging Applications. 2a ed. Florence, KY: CRC Press, 2007. 
STEPHANIDIS, C. The Universal Access Handbook. Florence, KY: CRC Press, 2009. 
WICKENS, C. D.; HOLLANDS, J. G. Engineering Psychology and Human Performance. 3a ed. Upper Saddle River, NJ: Prentice Hall, 1999. 
WICKENS, C. D.; MCCARLEY, J. S. Applied Attention Theory. Florence, KY: CRC Press, 2007."
ESZE101-17	Escoamento Multifásico	4-0-4	Mecânica dos Fluidos II; Transferência de Calor II	Introdução e definições; Revisão de escoamento monofásico; Introdução a Ebulição e Condensação; Modelos básicas do escoamento bifásico; Análise dimensional/similaridade aplicado a sistemas bifásicos; Padrões e mapas de fluxos gás-líquido; Balanços unidimensionais de massa, quantidade de movimento e energia em fluxo bifásico; Modelos cinemáticos: homogêneo, fases separadas, deslizamento; Padrões de escoamento bifásico gás-líquido; Correlações para cálculo de perda de carga e fração volumétrica em fluxo multifásico; Aplicações de escoamento multifásico.	"ISHI, M., HIBIKI, T., Thermo-Fluid Dynamics of Two-Phase Flow, 2a Ed., Springer, 2001.
FAGHRI, A., ZHANG, Y., Transport Phenomena in Multiphase Systems, Elsevier, 2006.
CROWE, C., SOMMERFELD, M., TSUJI, Y., Multiphase Flows With Droplets and Particles, CRC Press, 1998."	"RODRIGUEZ, O.M.H., (organizador) Escoamento multifásico – Volume 1. Rio de Janeiro: Associação Brasileira de Engenharia e Ciências, 2011.
SHOHAM, O., Mechanistic Modeling of Gas-Liquid Two-Phase Flow in Pipes. USA: SPE Books Committee, 2006.
ROSA, E.S., Escoamento multifásico isotérmico-Modelos de multifluidos e de misturas. Porto Alegre: Bookman Companhia Editora, 2012.
BERGLESET.Al., Two-phase flow and heat transfer in the power and process Industries. Usa: McGraw-Hill,1981.
BRILL, J.P., MURKHEEJEE, H., Multiphase Flow in Wells. USA: SPE Books Committee, 1999.
COLLIER, J.G., Convective boiling and condensation. McGraw-Hill, 1981.
GOVIER, G.W., AZIZ, K., The Flow of Complex Mixtures in Pipes, 2a. Ed.. USA: SPE Books Committee, 2008.
WALLIS, G.B., One-Dimensional Two-Phase Flow. USA: McGraw-Hill, 1969
WALLIS, G.B., One-Dimensional Two-Phase Flow. USA: McGraw-Hill, 1969."
NHT4007-15	Espectroscopia	4-2-6	Estrutura da Matéria; Interações Atômicas e Moleculares; Ligações Químicas	Natureza da radiação eletromagnética. Teoria da interação da radiação eletromagnética com a matéria. Absorção e emissão de radiação. Intensidades de linhas espectrais. Instrumentação em espectroscopia. Fundamentos e técnicas das espectroscopias: rotacional, vibracional, Raman. Aproximação de Born-Oppenheimer. Fundamentos e técnicas de espectroscopia eletrônica; princípio de Franck-Condon; processos de excitação e decaimento eletrônico; fluorescência e fosforescência. Regras de seleção em espectroscopia, e relações com teoria de grupos. Princípios de espectroscopia RMN. Fundamentos básicos de radiação sincrotron e aplicações em espectroscopia.	"ATKINS, Peter. Físico-química. 9 ed., Rio de Janeiro, LTC, 2012. vol. 1 e 2.
HOLLAS, J.M. Modern Spectroscopy. 4a ed. New Jersey: Wiley Inc, 2004.
LEE J. D., Química Inorgânica Não Tão Concisa. São Paulo: Edgard Blucher. 1999
HARRIS, D.C.; BERTOLUCCI, M.D. Symmetry and spectroscopy: an introduction to vibrational and electronic spectroscopy. New York: Dover Publications, 1989."	"MCQUARRIE, D.A; SIMON, J.D. Physical chemistry: a molecular approach. Sausalito, EUA: University Science Books 1997. 1360 p.
BANWELL, C. N. Fundamentals of molecular spectroscopy. 1a ed. McGraw-Hill, 1966.
ALBRIGHT, T. A. Orbital Interactions in Chemistry. 2a ed. Wiley-Interscience. 2002.
CARTER, R.L. Molecular symmetry and group theory. New York: J. Wiley, 1998."
ESTS007-17	Estabilidade e Controle de Aeronaves	4-0-4	Fenômenos Mecânicos; Funções de Uma Variável; Aeronáutica I-A; Desempenho de Aeronaves	Princípios de estabilidade estática e dinâmica. Estabilidade estática longitudinal: estabilidade manche livre, estabilidade manche fixo. Controle estático longitudinal: trim longitudinal, força no manche, manobras. Estabilidade estática lateral e controle: estabilidade direcional, estabilidade lateral. Derivadas de estabilidade. Resposta de atuação dos controles. Piloto humano e qualidade de voo.	"ETKIN, B.; REID, L. D., Dynamics of Flight - Stability and Control, 3ª Edição, JOHN WILEY & SONS, 1996.
ETKIN, B., Dynamics of Atmospheric Flight, Dover, 1972.
PAMADI, B. N. Performance, Stability, Dynamics, and Control of Airplanes, Hamilton: AIAA, 1998."	"ABZUG, M. J.; LARAABEE, E. E. Airplane Stability and Control. Cambridge: Cambridge Aerospace Series, 2002.
ANDERSON, J. D. Introduction to Flight. Boston: McGraw Hill, 2004.
COOK, M. V. Flight Dynamics Principles. 2 ed. New York: Butterworth-Heinemann, 2007.
STENGEL, R. F., Flight Dynamics. Princeton: Princeton University Press, 2004.
WARD, D. T.; STRGANAC, T. W. Introduction to Flight Test Engineering. 2 ed. New York: Kendall/Hunt Publishing Company, 2001.
STEVENS, BRIAN L.; LEWIS, FRANK L.; ""Aircraft Control and Simulation"", John Wiley and Sons, 2nd Ed., 2003."
ESHR005-13	Estado e Desenvolvimento Econômico no Brasil Contemporâneo	4-0-4	Introdução à Economia	Estado e desenvolvimento econômico no Brasil Contemporâneo é um curso interdisciplinar que reúne temas afins das áreas de Economia e Políticas Públicas. No curso, são apresentadas as linhas gerais das políticas governamentais adotadas em diferentes períodos de destaque da economia brasileira, buscando a compreensão do estudante sobre o papel do Estado no fomento do desenvolvimento econômico e social. A disciplina apoia-se em uma abordagem histórica enfocando as principais fases da economia brasileira entre os séculos XX-XXI e esboça um panorama global do crescimento econômico e da melhoria das condições sociais.	"BRUM, Argemiro J. Desenvolvimento Econômico Brasileiro. 27ª edição, Petrópolis: Editora Vozes, 2010 ISBN: 8532602207
CASTRO, Antonio Barros; PIRES DE SOUZA, Francisco E. A economia brasileira em marcha forçada. 3ª Edição, Rio de Janeiro: Paz & Terra, 2004.
CONCEIÇÃO TAVARES, Maria (Org.) O Papel do BNDE na industrialização do Brasil: os anos dourados do desenvolvimentismo. Memórias do Desenvolvimento. Ano 4, nº 4. Rio de Janeiro: Centro Internacional Celso Furtado de Políticas para o Desenvolvimento, 2008. ISSN: 1981-7789"	"BANCO INTERNACIONAL DE RECONSTRUÇÃO E DESENVOLVIMENTO. O Estado num mundo em transformação. Relatório sobre o desenvolvimento mundial, 1997. ISBN: 0-8213-3777- 7
BIELSCHOWSKY, Ricardo (et al.). O Desenvolvimento econômico brasileiro e a Caixa. Rio de Janeiro: Centro Internacional Celso Furtado de Políticas para o desenvolvimento. Caixa Econômica Federal, 2011. ISBN: 978-85-64634-00-8
BRESSER PEREIRA, Luiz Carlos. Developing Brazil: overcoming the failure of the Washington Consensus. Lynne Rienner Publisher, 2009. ISBN-10: 1588266249.
BRESSER PEREIRA, Luiz Carlos (Org.). Economia Brasileira na Encruzilhada. Parta I (Visão Geral). Rio de Janeiro: Editora FGV, 2006. ISBN: 8522505640
CARDOSO, José Celso Jr. (Org.). Para a Reconstrução do Desenvolvimento no Brasil: eixos estratégicos e diretrizes de política. São Paulo: Hucitec, 2011. ISBN: 978-85-7970-114-6
CASTRO, Ana Célia. CASTRO, Lavina Barros. Antônio Barros de Castro: o inconformista – homenagem do IPEA ao mestre. Brasília: IPEA, 2011.
DINIZ, Eli. Globalização, reformas econômicas e elites empresariais: Brasil anos 1990. Rio de Janeiro: FGV, 2000. ISBN: 8522502978
GIAMBIAGI, Fábio ; HERMANN, Jennifer; CASTRO, Lavínia Barros de ; VILELA, André. Economia Brasileira Contemporânea (1945/2004). Rio de Janeiro: Editora Campus, 2007.
MANTEGA, Guido. A Economia Política Brasileira. Petrópolis: Editora Vozes, 1984. ISBN: 85- 326-0275-4
MELLO, João Manuel Cardoso. O capitalismo tardio: contribuição à revisão crítica da formação e do desenvolvimento da economia brasileira. São Paulo: Brasiliense, 1982. ISBN: 85-11-09010-X
SCHUTTE, Giorgio Romano. Elo Perdido: Estado, Globalização e Indústria Petroquímica no Brasil. São Paulo: Editora AnnaBlume, 2004. ISBN: 85-7419-407-7
SOUZA, Angelita Matos. Deus e o Diabo na terra do sol: estado e economia no Brasil. São Paulo: Annablume, 2009. ISBN: 978-85-7419-921-4"
BHO0101-15	Estado e Relações de Poder	4-0-4	Não há	Política, Poder, Dominação e Estado. Cidadania, Democracia, Ideologia e Comportamento Político. Instituições e Processos Políticos: sistemas eleitorais, sistemas partidários e formas de governo.	"WEFFORT, F. Os clássicos da política. Ática, vol. 1. (remanejado da complementar)
WEFFORT, F. Os clássicos da política. Ática, vol. 2.(remanejado da complementar)
BOBBIO, N. Estado, governo e sociedade. Paz e Terra."	"BOBBIO, N. Era dos Direitos. Ed. Campus, 2004.
DAHL, R. Poliarquia – participação e oposição. EDUSP, 1997.
LIJPHART, A. Modelos de democracia: desempenho e padrões de governo em 36 países. Ed. Civilização Brasileira, 2003. 
MAQUIAVEL, N. O Príncipe. (várias edições). 
NICOLAU, J. Sistemas eleitorais. Ed. FGV, 5ª edição, 2008."
ESTM001-17	Estado Sólido	4-0-4	Física Quântica; Materiais e suas Propriedades	Estrutura cristalina e Rede Cristalina: Estrutura dos átomos. Teoria da difração (equações de Laue) e Rede Recíproca. Ligações químicas: sólidos iônicos, sólidos covalentes, sólidos metálicos, sólidos moleculares, sistemas amorfos. Vibrações da rede e fônons: redes monoatômicas e diatômicas. Propriedades térmicas dos fônons; calor específico, condutividade térmica. Gás de elétrons: estatística de Fermi-Dirac.	"KITTEL, C.; Introdução à física do estado solido. ed. LTC, 8ª edição, 2006.
IBACH, H.; LÜTH, H.; Solid state physics: an introduction to principles of materials science. 3rd Ed. Berlin: Springer, 2002.
ASHCROFT, N. W.; MERMIN, N.D.; Solid State Physics, Brooks Cole, 1st Ed., 1976."	"IBACH, Harald; LÜTH, Hans. Solid state physics: an introduction to principles of materials science. 3. ed. Berlin, DEU: Springer, 2002. xii, 501. ISBN 354043870X. (eletrônico)
ASHCROFT, Neil W.; MERMIN, Nathanil David. Física do estado sólido. Tradução de Maria Lúcia Godinho de Oliveira; Revisão de Robson Mendes Matos. São Paulo, SP: Cengage, c2011.
YU, Peter Y.; CARDONA, Manuel. Fundamentals of Semiconductors: Physics and Materials Properties. [S.l.: s.n.]. XX, 775, online resource. (Graduate Texts in Physics). Disponível em: <http://dx.doi.org/10.1007/978-3-642-00710-1>.
OLIVEIRA JÚNIOR, Ivan dos Santos; JESUS, Vitor L. B. de. Introdução à física do estado sólido. 2. ed. São Paulo, SP: Livraria da Física, c2011.
MYERS, H. P.; Introductory solid state physics. 2 ed. Boca Raton: CRC Press, 2002.
SUTTON, A. P.; Electronic structure of materials. Oxford: Oxford University Press, 1993.
BLAKEMORE, J. S.; Solid State Physics, Cambridge University Press; 2a. ed., 1985."
ESTS905-17	Estágio Curricular em Engenharia Aeroespacial	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTU905-17	Estágio Curricular em Engenharia Ambiental e Urbana	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTB905-17	Estágio Curricular em Engenharia Biomédica	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTE905-17	Estágio Curricular em Engenharia de Energia	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTG905-17	Estágio Curricular em Engenharia de Gestão	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTI905-17	Estágio Curricular em Engenharia de Informação	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTA905-17	Estágio Curricular em Engenharia de Instrumentação, Automação e Robótica	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
ESTM905-17	Estágio Curricular em Engenharia de Materiais	0-14-0	Requisito: CPK ≥ 0,633 no curso de engenharia e demais requisitos de acordo com a Resolução vigente	Estudos de situações reais em engenharia junto a instituições ou empresas públicas ou privadas credenciadas pela Universidade. Atividade individual orientada por um docente do curso e elaboração do relatório. Supervisão da empresa ou instituição, de acordo com o plano de trabalho previamente estabelecido. Apresentação de relatório das atividades desenvolvidas no prazo estabelecido, conforme cronograma da disciplina.	A bibliografia é indicada pelo Orientador conforme área de atuação.	A bibliografia é indicada pelo Orientador conforme área de atuação.
MCZA051-17	Estágio Supervisionado em Computação	4-0-8	Não há	Desenvolvimento de atividades de estágio individual para propiciar a complementação do processo de ensino-aprendizagem; possibilitar o desenvolvimento de atividades práticas que contribuam para a formação profissional em Computação; habilitar o exercício da competência técnica compromissada com a realidade dos campos de estágio; desenvolver espírito de investigação, atitudes científicas e habilidades necessárias à prática profissional em Computação; e desenvolvimento de habilidades de expressão escrita e oral.	"BARROS, A. J. S.; LEHFELD, N. A. S. Fundamentos de metodologia científica: um guia para a iniciação científica. 2ª edição. São Paulo, SP: Makron Books, 2000.
CARVALHO, M. C. M. Construindo o saber: metodologia científica: fundamentos e técnicas. 24aedição. Campinas, SP: Papirus, 2012.
MARCONI, M. A.; LAKATOS, E. M. Fundamentos de metodologia científica. 7a edição. São Paulo, SP: Atlas, 2010.
Bibliografia variável, conforme o tema do trabalho selecionado pelo aluno."	"DIAS, D. S.; SILVA, M. F. Como escrever uma monografia: manual de elaboração com exemplos e exercícios. São Paulo, SP: Atlas, 2010.
WASLAWICK, R. Metodologia de pesquisa para a Ciência da Computação. Rio de Janeiro, RJ: Elsevier, 2008.
CRUZ, C. O.; RIBEIRO, U. Metodologia científica: teoria e prática. Rio de Janeiro, RJ: Axcel Books do Brasil, 2003.
CERVO, A. L. Metodologia científica. 6a edição. São Paulo, SP: Pearson/PrenticeHall, 2007.
SALOMON, D. V. Como fazer uma monografia. 12a edição. São Paulo, SP: WMF Martins Fontes, 2010."
MCTC015-13	Estágio Supervisionado em Neurociência I	0-10-2	Não há	Conforme plano de atividades.	A ser definida	A ser definida
MCTC016-13	Estágio Supervisionado em Neurociência II	0-10-2	Não há	Conforme plano de atividades.	A ser definida	A ser definida
MCTC017-13	Estágio Supervisionado em Neurociência III	0-10-2	Não há	Conforme plano de atividades.	A ser definida	A ser definida
ESTG011-17	Estatística Aplicada a Sistemas de Gestão	2-2-4	Introdução à Probabilidade e à Estatística	Noções de amostragem e técnicas de amostragem probabilísticas e não probabilísticas aplicadas à tomada de decisões; principais distribuições por amostragem e o teorema do limite central voltado à estimação; construção de intervalos de confiança direcionados à tomada de decisão e à área de qualidade; determinação de tamanhos de amostras para dar suporte à tomada de decisão; teoria das decisões com apoio de testes de hipóteses paramétricos e não paramétricos; correlação entre variáveis: estudo das relações entre variáveis com ênfase na tomada de decisões; análise de regressão: introdução à modelagem voltada a aplicações na Engenharia de Gestão, envolvendo modelos lineares simples e lineares por transformação das variáveis.	"BUSSAB, W. O.; MORETTIN, P. A.; Estatística básica. 5. ed. São Paulo: Saraiva, 2006 ISBN 9788502034979.
FÁVERO, P. L.; BELFIORE, P.; SILVA, F. L.; CHAN, B. L.; Análise de Dados: modelagem multivariada para tomada de decisões. Rio de Janeiro: Elsevier, 2009.
MARTINS, G. A.; DOMINGUES, O.; Estatística aplicada – usando Excel e SPSS. São Paulo: Atlas, 2011."	"COSTA NETO, P. L. O.; Estatística. São Paulo: Edgar Blücher, 1977. ISBN 852120097-8.
LAPPONI, J. C.; Estatística usando excel. Rio de Janeiro: Elsevier, 2005. ISBN 853521574-3.
LARSON, R.; FARBER, B.; Estatística aplicada. 2. ed. São Paulo: Pearson Prentice Hall, 2004. 476 p. ISBN 8587918591.
ROHATGI, V. K.; Statistical inference. New York: Dover Publications, 2003. ISBN 9780486428123.
STEVENSON, W. J.; Estatística aplicada à administração. São Paulo: Harbra, 2001. ISBN 852940092-5."
